Checkpoint Number,Player,Computer,Gap
1,1.228,0.338,1,3
2,1.491,0.6,1,3
3,1.911,0.957,1,3
4,3.6,2.737,1,3
5,3.736,2.895,1,3
6,5.437,4.554,1,3
7,5.785,5.082,1,3
8,5.997,5.591,0,3
9,6.652,6.44,0,3
10,6.897,6.781,0,3
11,7.486,7.175,0,3
12,7.744,7.384,0,3
13,8.365,8.068,0,3
14,8.674,8.382,0,3
15,8.949,8.706,0,3
16,10.177,10.21,0,3
17,10.357,10.453,0,3
18,11.476,11.709,0,3
19,11.726,12.024,0,3
20,11.956,12.29,0,3
21,13.084,13.48,0,3
22,13.385,13.804,0,3
23,13.772,14.377,-1,3
24,14.003,14.64,-1,3
25,15.671,16.564,-1,3
26,15.885,16.797,-1,3
27,16.748,17.822,-1,3
28,17.135,18.187,-1,3
29,17.445,18.664,-1,3
30,18.321,19.718,-1,3
31,18.551,19.835,-1,3
