Checkpoint Number,Player,Computer,Gap
1,5.753,5.104,1,3
2,5.91,5.493,0,3
3,5.976,5.776,0,3
4,5.998,5.843,0,3
5,6.216,5.977,0,3
6,8.51,7.948,1,3
7,8.595,8.048,1,3
8,10.21,10.147,0,3
9,10.394,10.296,0,3
10,10.646,10.531,0,3
11,10.783,10.703,0,3
12,10.865,10.804,0,3
13,12.906,11.217,2,3
14,13.245,11.676,2,3
15,13.514,12.031,1,3
16,13.61,12.192,1,3
17,13.648,12.307,1,3
18,13.948,12.468,1,3
19,14.086,12.924,1,3
20,14.773,13.454,1,3
21,15.144,13.591,2,3
22,15.245,13.889,1,3
23,15.452,13.987,1,3
24,15.554,14.027,2,3
25,15.575,15.654,0,3
26,17.088,15.936,1,3
27,17.332,16.016,1,3
28,17.392,17.13,0,3
29,18.37,17.372,1,3
30,18.573,17.554,1,3
31,18.711,17.888,1,3
32,18.969,18.164,1,3
33,20.661,18.312,2,3
34,20.804,18.751,2,3
35,21.004,19.533,1,3
36,21.392,19.767,2,3
37,22.04,20.202,2,3
38,22.251,20.963,1,3
39,22.819,21.149,2,3
40,23.218,21.23,2,3
41,23.367,23.26,0,3
42,23.429,23.587,0,3
43,25.155,23.684,1,3
44,25.396,24.755,1,3
45,25.494,25.033,0,3
46,26.732,25.135,2,3
47,26.982,25.396,2,3
48,27.041,25.474,2,3
49,27.449,26.77,1,3
50,27.919,26.942,1,3
51,29.01,N/A,N/A
52,29.477,N/A,N/A
