Checkpoint Number,Player,Computer,Gap
1,1.406,0.517,1,3
2,1.922,1.195,1,3
3,3.217,2.61,1,3
4,3.552,3.037,1,3
5,3.812,3.33,0,3
6,3.931,3.511,0,3
7,4.228,3.834,0,3
8,4.46,4.152,0,3
9,4.926,4.554,0,3
10,5.236,4.945,0,3
11,5.46,5.38,0,3
12,5.795,5.736,0,3
13,6.066,6.066,0,3
14,6.358,6.358,0,3
15,6.594,6.657,0,3
16,6.758,6.838,0,3
17,9.307,9.73,0,3
18,9.609,10.055,0,3
19,9.71,10.19,0,3
20,10.962,11.727,-1,3
21,11.323,12.164,-1,3
22,11.58,12.59,-1,3
23,11.805,13.049,-1,3
24,12.458,13.711,-1,3
25,12.726,14.075,-1,3
26,13.09,14.504,-1,3
27,13.414,14.764,-1,3
28,14.867,16.58,-2,3
29,15.207,16.942,-2,3
30,16.535,18.095,-2,3
31,16.896,18.489,-2,3
32,17.38,19.182,-2,3
33,18.832,20.526,-2,3
34,19.353,21.114,-2,3
35,19.789,21.465,-2,3
36,20.196,21.72,-2,3
37,20.387,21.978,-2,3
38,22.126,23.448,-1,3
39,22.477,23.878,-1,3
40,23.779,25.272,-1,3
41,24.19,25.765,-2,3
42,24.574,26.228,-2,3
43,26.523,27.977,-1,3
44,26.766,28.087,-1,3
