Checkpoint Number,Player,Computer,Gap
1,7.979,7.587,0,3
2,8.44,8.349,0,3
3,8.591,8.71,0,3
4,9.008,9.158,0,3
5,10.297,10.298,0,3
6,10.844,10.933,0,3
7,11.289,11.987,-1,3
8,11.757,12.506,-1,3
9,13.106,13.9,-1,3
10,13.99,14.575,-1,3
11,14.139,15.144,-1,3
12,15.811,16.733,-1,3
13,17.092,17.564,0,3
14,17.867,18.221,0,3
15,19.213,19.725,-1,3
16,20.087,20.723,-1,3
17,20.658,21.373,-1,3
18,21.148,21.98,-1,3
19,24.264,25.017,-1,3
20,25.079,25.901,-1,3
21,32.096,31.974,0,3
22,32.577,32.637,0,3
23,34.283,34.195,0,3
24,35.061,35.183,0,3
25,35.091,35.274,0,3
26,35.667,35.934,0,3
27,38.645,39.145,0,3
