Checkpoint Number,Player,Computer,Gap
1,5.792,5.168,0.624
2,6.494,6.239,0.255
3,7.071,7.129,-0.058
4,7.838,7.943,-0.105
5,8.396,8.696,-0.3
6,8.94,9.209,-0.269
7,9.938,9.833,0.105
8,10.124,10.066,0.058
9,11.235,10.814,0.421
10,11.914,11.591,0.323
11,12.159,12.239,-0.08
12,12.265,12.507,-0.242
13,12.755,12.865,-0.11
14,13.824,13.689,0.135
15,17.168,15.451,1.717
16,18.407,18.357,0.05
17,18.898,19.027,-0.129
18,20.454,20.56,-0.106
19,21.069,21.044,0.025
20,21.69,21.865,-0.175
21,22.279,22.306,-0.027
22,22.659,22.765,-0.106
23,23.332,23.588,-0.256
24,24.997,25.376,-0.379
25,25.507,26.014,-0.507
26,27.501,27.841,-0.34
27,28.007,28.43,-0.423
28,30.13,30.662,-0.532
29,30.771,31.442,-0.671
30,31.323,31.687,-0.364
31,31.984,32.337,-0.353
32,34.367,34.577,-0.21
33,36.769,37.304,-0.535
34,37.411,38.106,-0.695
35,40.062,40.877,-0.815
36,40.223,40.989,-0.766
